sampels,sampels_1,BPA_ID,Sample Site,Depth_BIN,Depth_MLD,Depth,Water.mass,Latitude (decimal degrees),Depth (m),T,S,O2,Si,NO3,NO2,PO4,NH4,Chl c3,Chl c2,Chl c1,Chlide a,Phide a,Perid,But-fuco,Fuco,Neo,Pras,Viola,Hex-fuco,Astax,Diadino,Allo,Diato,Zea,Lut,DV chl b,Chl b,DV Chl a,Tot. MV Chl a,carotene mix,Micro,Nano,Pico,T.Pig,PON_nmol.L,POC_nmol.L,d15N,d13C,C:N,NO3.Up,NH4.Up,P.P.,N2_Fix,C_ug.L,N_ug.L,Domint WM Category,Secondary WM Category,Stn_nbr,Depth_m,Longitude,SW,PEW,EQ13W,SAMW,AAIW,UCDW,LCDW,NPDW,AABW,total%,Date sampled (YYYY-MM-DD),Time sampled (hh:mm),Subset,SubsetDepth,Longitude (decimal degrees),GO_SHIPS_CTD_no,Bottom depth,Pressure bottle,number,ID,NCBI_Submission,NCBI Sample Accession,Organism,Tax ID,Sampleme_depth,NCBI BioProject,DayLength,Stratificaiton..Tsurface.Tsample.,NRS_Location_code; Voyage_code,geo_loc (country:subregion),Oxygen (_mol/L) Lab,Chlf: CTD,Salinity [PSU] Lab,Biomass (mg/m3),Microplankotn,noplankton,Picoplankton,d13C,Total CO2 (_mol/kg),Total alkalinity (_mol/kg),"Total Bacteria
 (cells/mL)","Bacteria and Not Phototrophs
 (cells/mL)"
G34379,P15S_1536,34379,1536,1,1,SFC,Southern Ocean,-60.0007,13.6,2.255,33.921,329.3,15.77,27.09,0.27,1.9,0.548,0.118,0.145,0.021,0,0,0.009,0.042,0.435,0.003,0.002,0.002,0.034,0,0.02,0.003,0,0,0,0,0.014,0,0.883,0.006,0.886716624,0.043331188,0.061057501,2.728,996.4233834,6481.346799,-0.077925736,26.21623166,6.5046113,249.6837076,263.0414343,175.8924922,0.17218,77.77616158,13.94992737,AASW,AAIW,5,40.9,-170.003333,0.09,0,0,0.508,0.386,0,0,0,0,0.983,42495,0.907638889,1,0,-170.003333,5,2360,40.9,473,102.100.100/36927,TRUE,SAMN08219622,marine metagenome,408172,102.100.100/36927_40,PRJ385736,430,-0.006,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,334.5,0.44,34.0692,,0.183662296,0.287324766,0.499509107,-26.21623166,2152.9,2277.5,1.70E+05,1.70E+05
G34380,P15S_1736,34380,1736,1,1,SFC,Southern Ocean,-58.99713,6.1,2.519,33.892,327.2,13.23,26.37,0.32,1.84,0.498,0.128,0.15,0,0.05,0,0,0.075,0.409,0.002,0,0.002,0.043,0.005,0.023,0.003,0,0,0,0,0.015,0,0.817,0.009,0.841522458,0.072958806,0.079093415,2.725,1848.336832,10861.2898,1.617033751,26.51262258,5.876250267,207.5331718,262.600936,194.3524768,0.54894,130.3354776,25.87671565,AASW,AAIW,5,66.4,-170.003333,0.144,0,0,0.355,0.407,0.079,0,0,0,0.985,42495,0.907638889,1,0,-170.003333,5,2360,66.4,472,102.100.100/36926,TRUE,SAMN08219621,marine metagenome,408172,102.100.100/36926_66,PRJ385736,430,-0.007,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,334.4,0.44,34.0686,,0.178369556,0.330086138,0.465965943,-26.51262258,2149.8,2278.8,,
G34381,P15S_1936,34381,1936,1,1,SFC,Southern Ocean,-57.99893,14.3,3.14,33.893,320.3,9.9,25.3,0.26,1.77,0.699,0.095,0.103,0.013,0,0,0.012,0.066,0.203,0.002,0.002,0.002,0.048,0,0.015,0.004,0,0,0,0,0.011,0,0.501,0.005,0.736778247,0.089805641,0.149383335,2.057,1691.342165,10078.36633,1.511316938,26.88527218,5.958798016,247.4389076,330.3167337,232.6387781,0.17105,120.940396,23.6787903,AASW,AAIW,6,5.9,-170.05937,0.186,0,0,0.348,0.452,0,0,0,0,0.985,42496,0.309027778,1,0,-170.05937,6,2801,5.9,156,102.100.100/34373,FALSE,,,,,,438,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,327.2,0.54,34.0909,0.1354,0.143076648,0.279101771,0.553609019,-26.88527218,2144,2272.1,,
G34382,P15S_2036,34382,2036,1,1,SFC,Southern Ocean,-57.50605,14.2,3.64,33.911,316.8,8.04,24.44,0.24,1.72,0.684,0.165,0.191,0.031,0,0,0,0.13,0.257,0,0,0.001,0.034,0,0.014,0,0,0,0,0,0.006,0,0.629,0.005,0.760279482,0.109117456,0.089728367,2.421,1127.805162,6932.168558,1.819773626,28.7093802,6.146601199,242.0060394,426.9203935,215.9253175,0.07882,83.1860227,15.78927226,AASW,AAIW,6,25.6,-170.04835,0.188,0,0,0.343,0.453,0,0,0,0,0.984,42496,0.239583333,1,0,-170.04835,6,2801,25.6,479,102.100.100/36933,TRUE,SAMN08219628,marine metagenome,408172,102.100.100/36933_25,PRJ385736,438,-0.009,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,327.1,0.45,34.0906,,0.150960156,0.289797581,0.539139083,-28.7093802,2136.9,2269.1,2.10E+05,2.10E+05
G34383,P15S_2136,34383,2136,1,1,SFC,Southern Ocean,-57.00865,5.8,3.919,33.912,314.3,6.74,23.79,0.25,1.66,0.492,0.119,0.151,0.023,0,0,0,0.115,0.154,0,0,0.001,0.041,0,0.01,0,0,0,0,0,0.005,0,0.428,0.003,0.652742082,0.13698328,0.15830949,1.999,2636.288066,12197.00417,3.132483242,27.37320522,4.626582479,155.7509685,194.2577427,155.0802486,0.01791,146.3640501,36.90803292,AASW,AAIW,6,49.4,-170.04835,0.18,0,0,0.331,0.445,0,0,0,0,0.956,42496,0.239583333,1,0,-170.04835,6,2801,49.4,478,102.100.100/36932,TRUE,SAMN08219627,marine metagenome,408172,102.100.100/36932_49,PRJ385736,438,-0.012,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,326.6,0.4,34.0916,,0.153335878,0.307315482,0.513615275,-27.37320522,2134.6,2272.4,,
G34384,P15S_2236,34384,2236,1,1,SFC,Southern Ocean,-56.49352,11.5,3.956,33.923,312.8,6.94,23.84,0.23,1.67,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AASW,AAIW,8,4.2,-170.03705,0,0.054,0,0.706,0.214,0,0,0,0,0.974,42498,0.134027778,1,0,-170.03705,8,3048,4.2,157,102.100.100/34374,FALSE,,,,,,440,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,327.4,0.74,34.0777,0.6913,,,,,2134.8,2272.9,,
G34385,P15S_2336,34385,2336,1,1,SFC,Southern Ocean,-55.98627,7,4.042,33.911,313.2,6.36,23.52,0.24,1.67,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.5952666,4924.564111,1.909515421,28.09814302,6.76827398,286.7576243,508.4747429,214.691875,0.30749,59.09476933,10.18633373,AASW,AAIW,8,111.9,-170.03705,0.252,0,0,0.115,0.49,0.115,0,0,0,0.971,42498,0.134027778,1,0,-170.03705,8,3048,111.9,288,102.100.100/34505,FALSE,,,,,,440,-0.028,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,326.1,0.13,34.0804,,,,,-28.09814302,2133.8,2268.4,3.00E+05,3.00E+05
G34386,P15S_2436,34386,2436,1,1,SFC,Southern Ocean,-55.50098,5.7,4.234,33.917,312.3,6.47,23.45,0.25,1.67,0.613,0.023,0.031,0.003,0,0,0,0.031,0.028,0,0,0.001,0.051,0,0.009,0,0,0,0,0,0,0,0.134,0.002,0.330226345,0.090896899,0.539920943,1.274,2031.748192,12227.90307,3.083793991,30.50175958,6.01841464,299.1877105,391.0202529,231.2961932,0.20646,146.7348368,28.44447469,AASW,AAIW,8,61.1,-170.030533,0.126,0,0,0.395,0.361,0.068,0,0,0,0.949,42498,0.053472222,1,0,-170.030533,8,3048,61.1,484,102.100.100/36938,TRUE,SAMN08219633,marine metagenome,408172,102.100.100/36938_61,PRJ385736,440,-0.004,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,327.4,0.12,34.0776,,,,,-30.50175958,2132.8,2272.1,2.80E+05,2.80E+05
G34387,P15S_2536,34387,2536,1,1,SFC,Southern Ocean,-54.9999,11.8,4.496,33.939,308.2,6.3,23.02,0.22,1.63,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AASW,SAMW,9,19.2,-169.9932,0,0.069,0,0.591,0.236,0,0,0,0,0.896,42498,0.330555556,1,0,-169.9932,9,2592,19.2,491,102.100.100/36945,TRUE,SAMN08219640,marine metagenome,408172,102.100.100/36945_19,PRJ385736,447,0.009,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,326.4,0.17,34.0584,,0.065285477,0.282680674,0.625977921,,2130.6,2271.5,,
G34388,P15S_2636,34388,2636,1,1,SFC,Southern Ocean,-54.4981,8.8,6.061,34.127,297.4,4.95,19.83,0.25,1.41,0.473,0.028,0.03,0.005,0,0,0,0.031,0.022,0.003,0.006,0.003,0.065,0,0.007,0.001,0,0,0,0,0.023,0,0.172,0.003,0.199658531,0.228523008,0.540957161,1.368,520.2101914,4139.722912,1.989480578,25.68562918,7.957788949,224.1722835,314.0086801,245.1084046,0.57589,49.67667495,7.28294268,AASW,SAMW,9,64.7,-169.9932,0.12,0,0,0.403,0.344,0.065,0,0,0,0.931,42498,0.330555556,1,0,-169.9932,9,2592,64.7,490,102.100.100/36944,TRUE,SAMN08219639,marine metagenome,408172,102.100.100/36944_64,PRJ385736,447,-0.008,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,325.7,0.09,34.061,,0.067585114,0.183474377,0.722876922,-25.68562918,2123.2,2277.6,2.80E+05,2.80E+05
G34389,P15S_2736,34389,2736,1,1,SFC,Southern Ocean,-53.99102,6.2,6.846,34.174,292.7,4.2,18.35,0.26,1.32,0.438,0.033,0.027,0.004,0,0,0,0.026,0.015,0.004,0.006,0.004,0.067,0,0.01,0,0,0,0,0,0.035,0,0.17,0.003,0.135215129,0.287917392,0.551495133,1.379,427.0020529,3548.270201,-0.804143213,26.87889168,8.309726328,344.4963009,484.1539005,312.3404192,0.32565,42.57924242,5.978028741,AASW,SAMW,9,5,-169.99798,0,0.076,0,0.65,0.203,0,0,0,0,0.929,42498,0.379861111,1,0,-169.99798,9,2592,5,158,102.100.100/34375,FALSE,,,,,,447,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,327.1,0.43,34.0585,0.8298,0.068555991,0.154105578,0.754039932,-26.87889168,2120.3,2273.5,3.20E+05,3.20E+05
G34390,P15S_2836,34390,2836,1,1,SFC,Southern Ocean,-53.502,9.2,7.033,34.184,291.1,3.94,18.03,0.27,1.31,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.450953,5054.952931,1.313996807,26.06970125,8.069191861,,316.9332086,299.6603783,0.48615,60.65943518,8.770313343,AASW,SAMW,11,5.5,-169.99523,0,0.099,0,0.899,0.073,0.075,0,0,0,1.146,42498,0.760416667,1,0,-169.99523,11,3268,5.5,159,102.100.100/34376,FALSE,,,,,,449,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,320.8,0.26,34.07,,0.084856315,0.067555368,0.818636016,-26.06970125,2118.3,2276.5,,
G34391,P15S_2936,34391,2936,1,1,SFC,Southern Ocean,-53.00358,12.3,7.114,34.18,290.9,3.87,17.91,0.28,1.29,0.198,0.029,0.031,0.007,0,0,0.006,0.031,0.017,0.005,0.006,0.004,0.088,0,0.01,0.001,0,0,0,0,0.039,0,0.212,0.004,0.163847095,0.253939268,0.559122704,1.466,594.050654,4205.290578,0.126213808,25.6900992,7.079010097,470.3819525,231.1695948,418.7141454,0.63157,50.46348693,8.316709156,AASW,SAMW,11,24.4,-170.004967,0,0.083,0,0.763,0.148,0.072,0,0,0,1.066,42498,0.679166667,1,0,-170.004967,11,3268,24.4,497,102.100.100/36951,TRUE,SAMN08219646,marine metagenome,408172,102.100.100/36951_24,PRJ385736,449,-0.014,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,320.7,0.11,34.0636,,0.065666743,0.140326868,0.773173227,-25.6900992,2115.9,2275.2,,
G34393,P15S_3136,34393,3136,1,1,SFC,Southern Ocean,-52.0028,5.2,8.046,34.274,283.8,2.77,15.12,0.27,1.13,0.189,0.033,0.034,0.009,0,0,0.005,0.033,0.018,0.006,0.008,0.005,0.096,0,0.012,0.002,0,0.004,0.003,0,0.047,0,0.225,0.004,0.14375047,0.269592713,0.564409471,1.519,599.2341228,4467.262636,0.651835376,26.28973933,7.454953692,590.2700904,319.7363397,505.8958542,0.64974,53.60715163,8.38927772,AASW,SAMW,11,75,-170.004967,0.122,0,0,0.398,0.349,0.065,0,0,0,0.933,42498,0.679166667,1,0,-170.004967,11,3268,75,496,102.100.100/36950,TRUE,SAMN08219645,marine metagenome,408172,102.100.100/36950_75,PRJ385736,449,0.179,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,322.8,0.12,34.0851,,,,,-26.28973933,2110.4,2280.7,4.40E+05,4.30E+05
G34394,P15S_3236,34394,3236,1,1,SFC,STF,-51.49278,22.7,8.522,34.341,280.8,2.53,13.78,0.25,1.04,0.206,0.033,0.033,0.008,0,0,0.007,0.036,0.014,0.007,0.008,0.005,0.097,0,0.011,0.002,0,0.004,0.002,0,0.053,0,0.241,0.005,0.131976158,0.292602745,0.551872287,1.543,,,,,,,,,,,,AASW,SAMW,12,8.1,-169.99257,0,0.098,0,0.606,0.184,0,0,0,0,0.888,42499,0.032638889,1,0,-169.99257,12,3466,8.1,160,102.100.100/34377,FALSE,,,,,,455,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,320,0.21,34.039,0.1179,,,,,2108.5,2283,,
G34395,P15S_3336,34395,3336,1,1,SFC,STF,-51.00052,10.7,7.921,34.271,284.9,2.79,15.47,0.26,1.14,0.108,0.023,0.029,0.007,0,0,0.009,0.036,0.014,0.007,0.008,0.006,0.088,0,0.011,0.002,0,0.005,0.002,0,0.059,0,0.251,0.005,0.143309104,0.322790695,0.510355812,1.539,613.4897994,4369.079103,1.237346252,25.66786424,7.12168174,678.2654741,284.1436304,453.680132,0.77042,52.42894923,8.588857192,AASW,SAMW,12,33.7,-169.997583,0.073,0.08,0,0.51,0.254,0.053,0,0,0,0.969,42498,0.909027778,1,0,-169.997583,12,3466,33.7,503,102.100.100/36957,TRUE,SAMN08219652,marine metagenome,408172,102.100.100/36957_33,PRJ385736,455,0.001,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,320.1,0.15,34.0378,,0.084793661,0.040206327,0.85776873,-25.66786424,2111.6,2279,4.10E+05,4.10E+05
G34396,P15S_3436,34396,3436,1,1,SFC,STF,-50.50313,6.3,9.398,34.332,276,1.72,12.18,0.29,0.96,0.281,0.035,0.037,0.006,0,0,0,0.036,0.013,0.008,0.008,0.005,0.087,0,0.011,0.003,0,0.008,0,0,0.054,0,0.229,0.005,0.085767202,0.329405934,0.559332661,1.518,537.0470557,3942.840753,1.571021436,26.21929216,7.341704438,357.7725116,566.3566142,512.2809116,0.94459,47.31408903,7.51865878,AASW,SAMW,12,58.9,-169.997583,0.112,0.062,0,0.415,0.323,0.06,0,0,0,0.972,42498,0.909027778,1,0,-169.997583,12,3466,58.9,502,102.100.100/36956,TRUE,SAMN08219651,marine metagenome,408172,102.100.100/36956_58,PRJ385736,455,-0.003,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,320,0.2,34.0292,,0.095839358,0.042085008,0.844039202,-26.21929216,2099.6,2283.1,4.20E+05,4.10E+05
G34397,P15S_3536,34397,3536,1,1,SFC,STF,-50.00988,12.1,10.398,34.456,269.4,1.39,9.54,0.31,0.78,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.8977342,4794.055849,0.689953235,25.65661515,7.847558734,,,,,57.52867019,8.552568278,AASW,SAMW,13,6,-170.00178,0,0.108,0,0.659,0.131,0,0,0,0,0.897,42499,0.854166667,1,0,-170.00178,13,4311,6,161,102.100.100/34378,FALSE,,,,,,456,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,322.4,0.19,33.9981,0.5401,0.054424398,0.030898436,0.90143498,-25.65661515,2095.2,2287.8,,
G34398,P15S_3636,34398,3636,1,1,SFC,STF,-49.4931,14.5,9.087,34.292,278.1,2.1,14.11,0.29,1.06,0.146,0.043,0.043,0.011,0,0,0.008,0.047,0.025,0.007,0.01,0.005,0.116,0,0.014,0.003,0,0.009,0.003,0,0.06,0,0.312,0.009,0.158546286,0.274994127,0.541983602,1.7,752.2456884,4794.055849,1.005345693,25.15612294,6.372992126,580.8201374,314.7089943,430.1148748,0.67016,57.52867019,10.53143964,AASW,SAMW,13,20.4,-170.011917,0,0.096,0,0.6,0.177,0.052,0,0,0,0.926,42499,0.688194444,1,0,-170.011917,13,4311,20.4,509,102.100.100/36963,TRUE,SAMN08219658,marine metagenome,408172,102.100.100/36963_20,PRJ385736,456,-0.002,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,322.3,0.22,33.9892,,,,,-25.15612294,2105.3,2280.5,,
G34399,P15S_3736,34399,3736,1,1,SFC,STF,-48.99862,8.4,10.318,34.501,269.9,1.42,10.01,0.31,0.82,0.119,0.045,0.041,0.011,0,0,0.01,0.045,0.022,0.007,0.008,0.004,0.09,0,0.014,0.004,0,0.009,0.002,0,0.06,0,0.284,0.007,0.175732774,0.312915409,0.484259441,1.635,688.6836812,4826.694112,2.883374034,24.92224437,7.008579183,892.9762979,353.7173302,625.1539751,1.86462,57.92032935,9.641571537,AASW,SAMW,13,65.9,-170.011917,0.112,0.061,0,0.414,0.325,0.06,0,0,0,0.973,42499,0.688194444,1,0,-170.011917,13,4311,65.9,508,102.100.100/36962,TRUE,SAMN08219657,marine metagenome,408172,102.100.100/36962_65,PRJ385736,456,-0.009,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,321.9,0.38,34.0044,,0.047041431,0.084808533,0.858100183,-24.92224437,2097.6,2289.8,,
